arrayName," firstJoint"," secondJoint"," thirdJoint"," fourthJoint"," fifthJoint"," sixthJoint"
array_scan_mid_0,2.7868363857269287,-1.927878042260641,1.708729092274801,-1.4058648657849808,-1.6280115286456507, -3.468132559453146
array_scan_mid_5,2.7868614196777344,-1.8613211117186488,1.4193828741656702,-1.183090941315033,-1.6280892531024378, -3.46833306947817
array_scan_mid_10,2.786724090576172,-1.7456757030882777,1.0618765989886683,-0.9412316840938111,-1.6280964056598108, -3.4686558882342737
array_scan_mid_15,2.786526679992676,-1.52778963119302,0.5119536558734339,-0.6092602771571656,-1.6281564871417444, -3.469111744557516
array_scan_left_yolo_0 , 3.3118858337402344, -1.6766110859312953, 1.9099209944354456,  -1.7447201214232386, -1.6233299414264124, -3.024813954030172
array_scan_left_yolo_5 , 3.311997890472412,  -1.7004853687682093, 1.694012467061178, -1.5048336920193215, -1.6232121626483362, -3.0250161329852503
array_scan_left_yolo_10, 3.31208157539368, -1.67535986522817, 1.43538600603213, -1.27126656592403, -1.62322599092592, -3.0253372828113
array_scan_left_yolo_15, 3.311978578567505,  -1.5993348560728968, 1.1141169706927698, -1.0259762567332764, -1.6232932249652308, -3.025562588368551
array_scan_right_yolo_0 , 2.0386149883270264,  -1.671675821343893, 1.9084814230548304, -1.8000546894469203, -1.5841215292560022, -4.256327692662374 
array_scan_right_yolo_5 , 2.0387096405029297,   -1.6963235340514125, 1.6932857672320765, -1.5600582457012315, -1.5840628782855433, -4.25656801 8590109
array_scan_right_yolo_10, 2.03880262374878, -1.67188944439077, 1.43529826799502, -1.32640195012603, -1.58402139345278, -4.25680452982058
array_scan_right_yolo_15, 2.0387182235717773,  -1.5965944729247035, 1.1146071592914026, -1.0810580116561432, -1.5841334501849573, -4.257116381322042
